Genero;Edad;Altura;Peso;Antecedentes_sobrepeso;Fruta_diaria;Verduras_semanales;Metodo_transporte;IMC;Estado
Mujer;42;183;64;No;5;14;Transporte_Publico;19.11;Normal
Mujer;53;171;87;Si;1;3;Transporte_Publico;29.75;Sobrepeso
Hombre;51;184;70;Si;3;9;Transporte_Publico;20.68;Normal
Hombre;18;188;105;Si;1;6;Andando;29.71;Sobrepeso
Hombre;65;149;53;No;5;14;Transporte_Publico;23.87;Normal
Hombre;61;186;73;No;5;8;Coche;21.1;Normal
Mujer;39;166;85;Si;1;1;Bicicleta;30.85;Obesidad
Hombre;18;181;79;No;4;13;Transporte_Publico;24.11;Normal
Hombre;43;179;59;Si;1;2;Transporte_Publico;18.41;Delgadez
Hombre;21;152;56;Si;2;8;Transporte_Publico;24.24;Normal
Hombre;22;154;70;No;1;3;Transporte_Publico;29.52;Sobrepeso
Mujer;29;188;106;No;1;4;Transporte_Publico;29.99;Obesidad
Hombre;22;182;64;No;5;11;Transporte_Publico;19.32;Normal
Hombre;52;157;52;Si;3;9;Coche;21.1;Normal
Hombre;27;147;62;No;2;4;Transporte_Publico;28.69;Sobrepeso
Mujer;44;162;73;Si;2;4;Transporte_Publico;27.82;Sobrepeso
Hombre;57;164;46;Si;1;6;Transporte_Publico;17.1;Delgadez
Mujer;30;160;80;No;0;1;Coche;31.25;Obesidad
Mujer;58;175;94;Si;0;1;Coche;30.69;Obesidad
Mujer;63;195;99;No;1;6;Transporte_Publico;26.04;Sobrepeso
Hombre;19;181;94;No;2;4;Andando;28.69;Sobrepeso
Mujer;55;187;111;No;0;1;Coche;31.74;Obesidad
Mujer;62;155;80;Si;2;2;Coche;33.3;Obesidad
Mujer;32;148;54;Si;2;13;Transporte_Publico;24.65;Normal
Hombre;36;198;85;No;3;8;Transporte_Publico;21.68;Normal
Hombre;18;159;49;Si;4;7;Transporte_Publico;19.38;Normal
Hombre;48;186;97;No;1;3;Andando;28.04;Sobrepeso
Mujer;61;154;49;Si;2;14;Coche;20.66;Normal
Hombre;31;177;74;No;2;12;Transporte_Publico;23.62;Normal
Hombre;63;169;59;No;4;7;Andando;20.66;Normal
Hombre;36;156;45;Si;2;4;Bicicleta;18.49;Delgadez
Mujer;39;190;79;No;4;12;Transporte_Publico;21.88;Normal
Mujer;53;169;75;No;1;4;Andando;26.26;Sobrepeso
Hombre;38;160;83;Si;2;2;Transporte_Publico;32.42;Obesidad
Hombre;48;155;62;No;2;4;Transporte_Publico;25.81;Sobrepeso
Mujer;32;152;48;No;3;12;Transporte_Publico;20.78;Normal
Mujer;23;193;104;Si;1;3;Andando;27.92;Sobrepeso
Mujer;65;159;57;No;5;10;Transporte_Publico;22.55;Normal
Hombre;63;149;69;No;0;1;Transporte_Publico;31.08;Obesidad
Mujer;58;179;97;Si;0;1;Transporte_Publico;30.27;Obesidad
Mujer;56;164;84;No;1;4;Transporte_Publico;31.23;Obesidad
Hombre;43;164;49;No;2;7;Andando;18.22;Delgadez
Mujer;54;150;30;Si;2;9;Transporte_Publico;13.33;Delgadez
Hombre;25;153;60;No;2;3;Transporte_Publico;25.63;Sobrepeso
Hombre;41;171;88;No;1;2;Transporte_Publico;30.09;Obesidad
Mujer;50;157;82;No;2;1;Transporte_Publico;33.27;Obesidad
Hombre;35;156;36;No;2;8;Transporte_Publico;14.79;Delgadez
Hombre;46;152;59;Si;2;5;Transporte_Publico;25.54;Sobrepeso
