,Country,personal,Gasto%,casos_totales,muertes_totales,popData2019,CN14,casos_100000,muertes_100000,continentExp
0,Afghanistan,4.461,9.4,49273,1971,38041757,5.35260845,129.5234602,5.181148705,Asia
1,Albania,106.237,5.26,48530,1003,2862427,78.98096224,1695.414416,35.04019491,Europe
2,Algeria,32.67,6.22,92102,2596,43053054,8.636940988,213.9267519,6.029769688,Africa
3,Angola,4.075,2.55,16188,371,31825299,2.699702005,50.86519376,1.165739244,Africa
4,Armenia,43.683,10.03,148682,2503,2957728,206.1062064,5026.899025,84.6257668,Europe
5,Australia,165.729,9.28,28031,908,25203200,4.61021953,111.2200038,3.602717115,Oceania
6,Austria,123.005,10.33,320036,4400,8858775,141.2727227,3612.64396,49.66826678,Europe
7,Bahamas,45.669,6.25,7674,163,389486,105.2193588,1970.289048,41.85002799,America
8,Bangladesh,9.932,2.34,490533,7052,163046173,15.68371585,300.8552675,4.325155182,Asia
9,Barbados,30.6,6.56,292,7,287021,5.118482512,101.7347163,2.438845938,America
10,Belgium,31.146,10.32,608001,17951,11455519,215.2974143,5307.494143,156.701761,Europe
11,Belize,34.194,5.69,9295,195,390351,109.6023815,2381.190262,49.95504046,America
12,Benin,4.679,2.49,3090,44,11801151,1.396767276,26.18388664,0.372844988,Africa
13,Bhutan,22.76,3.06,438,0,763094,2.969699271,57.39790904,0,Asia
14,Botswana,57.46,5.85,12501,37,2303703,28.02409151,542.6480757,1.606109815,Africa
15,Brazil,101.19,9.51,6901952,181402,211049519,130.4608264,3270.299801,85.95233993,America
16,Bulgaria,89.924,7.35,179449,5688,7000039,122.8426008,2563.54286,81.25669014,Europe
17,Cambodia,6.855,6.03,359,0,16486542,0.089633344,2.177533651,0,Asia
18,Canada,124.125,10.79,460743,13431,37411038,46.54561794,1231.569677,35.90116906,America
19,Chile,185.072,9.14,571919,15886,18952035,152.4013741,3017.71815,83.82213308,America
20,Colombia,107.171,7.64,1425774,39053,50339443,143.4577695,2832.319778,77.57932482,America
21,Cuba,159.813,11.19,9423,137,11333484,4.163808588,83.14301233,1.208807459,America
22,Czechia,124.486,7.65,581079,9609,10649800,215.4373777,5456.24331,90.22704652,Europe
23,Denmark,147.762,10.07,109758,941,5806081,66.59553155,1890.397327,16.20714558,Europe
24,Ecuador,25.059,8.14,202110,13875,17373657,48.02297171,1163.31294,79.86228806,America
25,Egypt,26.952,4.95,121575,6920,100388076,4.969827406,121.1050205,6.893248955,Africa
26,Eritrea,14.397,4.09,711,0,3497117,0.986470833,20.33103268,0,Africa
27,Estonia,66.316,6.69,18055,149,1324820,47.9314944,1362.826648,11.24681089,Europe
28,Eswatini,41.415,6.54,6768,127,1148133,30.49757056,589.4787451,11.06143626,Africa
29,Ethiopia,7.904,3.3,116769,1806,112078727,5.388214148,104.1848022,1.611367338,Africa
30,Fiji,33.752,3.42,46,2,889955,0.245279747,5.16880067,0.224730464,Oceania
31,Finland,59.459,9.04,30810,453,5517919,21.22840814,558.3626726,8.209616705,Europe
32,France,180.051,11.26,2376852,57911,67012883,142.4005517,3546.858296,86.41771165,Europe
33,Georgia,118.494,7.11,191063,1839,3996762,175.4820977,4780.44477,46.01224691,Europe
34,Germany,177.854,11.43,1337078,21975,83019213,60.00040079,1610.564533,26.46977634,Europe
35,Ghana,46.484,3.54,53014,327,30417858,9.147743173,174.2857765,1.075026387,Africa
36,Greece,99.281,7.72,124534,3625,10724599,45.20003394,1161.199594,33.80079759,Europe
37,Grenada,77.2,4.46,69,0,112002,1.84895461,61.60604275,0,America
38,Guatemala,16.378,5.71,129282,4423,17581476,38.24870576,735.3307538,25.15715973,America
39,Guyana,28.588,5.94,5920,155,782775,38.63188826,756.2837342,19.80134777,America
40,Haiti,6.32,7.69,9565,234,11263079,4.537673154,84.92349206,2.077584646,America
41,Honduras,7.287,7.05,114359,2975,9746115,60.80426131,1173.380367,30.52498354,America
42,Hungary,105.744,6.7,283870,7130,9772756,134.2914717,2904.707741,72.95792507,Europe
43,Iceland,207.692,8.47,5557,28,356991,63.83390776,1556.621876,7.843334986,Europe
44,India,24.128,3.54,9884100,143355,1366417756,29.52847144,723.3585744,10.49130102,Asia
45,Indonesia,4.269,2.87,617820,18819,270625567,9.063562787,228.2932861,6.953888433,Asia
46,Iraq,27.527,4.11,574634,12579,39309789,60.03812359,1461.808915,31.99966298,Asia
47,Ireland,163.243,6.93,76185,2124,4904240,63.30324951,1553.451707,43.30946283,Europe
48,Israel,125.273,7.52,357859,2999,8519373,170.6614375,4200.532128,35.2021211,Asia
49,Italy,139.27,8.67,1843712,64520,60359546,118.9180001,3054.549151,106.8927854,Europe
50,Jamaica,9.425,6.06,11710,273,2948277,20.09841064,397.1811333,9.259645549,America
51,Japan,151.774,10.95,179653,2585,126860299,5.352042573,141.6148325,2.037674529,Asia
52,Jordan,28.212,7.79,259614,3365,10101697,126.7288946,2570.003832,33.31123474,Asia
53,Kenya,13.221,5.17,91892,1587,52573967,8.930622469,174.7861256,3.018604246,Africa
54,Kuwait,74.145,5,146218,911,4207077,143.9803757,3475.524693,21.65398922,Asia
55,Latvia,78.584,6.19,25675,349,1919968,57.77526848,1337.261871,18.17738629,Europe
56,Lebanon,37.773,8.35,146520,1200,6855709,84.21349903,2137.196897,17.50366009,Asia
57,Lesotho,32.567,9.28,2250,44,2125267,7.098200904,105.8690508,2.070328105,Africa
58,Liberia,5.321,6.74,1676,83,4937374,1.806005191,33.94517004,1.681055557,Africa
59,Lithuania,148.574,6.57,95021,825,2794184,119.3776465,3400.670822,29.52561463,Europe
60,Madagascar,2.98,4.79,17638,258,26969306,3.548174242,65.40027393,0.956643082,Africa
61,Malawi,4.744,9.33,6066,187,18628749,1.868146625,32.56257304,1.003824787,Africa
62,Maldives,81.366,9.41,13368,48,530957,130.2799167,2517.718007,9.040280098,Asia
63,Mali,5.694,3.88,5814,194,19658023,1.475366513,29.57571064,0.986874418,Africa
64,Malta,94.833,8.96,11101,166,493559,110.589803,2249.173858,33.6332637,Europe
65,Mauritania,11.117,4.58,10780,222,4525698,11.1328616,238.1953016,4.905320682,Africa
66,Mexico,79.986,5.37,1250044,113953,127575529,38.43395892,979.8462211,89.32198902,America
67,Mongolia,80.654,3.79,912,0,3225166,1.432223051,28.27761424,0,Asia
68,Montenegro,79.851,8.42,41426,582,622182,333.789779,6658.180404,93.54176109,Europe
69,Mozambique,7.685,8.17,16954,142,30366043,2.95206457,55.83210167,0.467627606,Africa
70,Myanmar,16.763,4.79,108342,2268,54045422,10.17200668,200.4647128,4.196470147,Asia
71,Namibia,19.54,7.95,16536,160,2494524,32.64080941,662.8919986,6.414049334,Africa
72,Nepal,38.57,5.84,248423,1698,28608715,36.44998895,868.3472851,5.935254345,Asia
73,Netherlands,151.917,9.97,612746,10034,17282163,135.1720603,3545.539988,58.05986207,Europe
74,Niger,2.234,7.33,2258,80,23310719,0.440951918,9.686530905,0.343189757,Africa
75,Nigeria,13.064,3.89,73175,1197,200963603,1.493489926,36.41206612,0.595630245,Africa
76,Norway,229.921,10.05,40022,387,5328212,29.70721701,751.1337762,7.263224511,Europe
77,Oman,61.996,4.13,126240,1471,4974992,106.1989593,2537.491518,29.56788674,Asia
78,Pakistan,19.373,3.2,440787,8832,216565317,8.200112393,203.5353611,4.07821535,Asia
79,Panama,46.796,7.27,193007,3356,4246440,220.5027471,4545.148407,79.03090589,America
80,Paraguay,30.148,6.65,93582,1953,7044639,66.11038175,1328.414416,27.7232091,America
81,Peru,37.972,5.24,984973,36677,32510462,155.9524743,3029.710867,112.8159914,America
