"","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","9.40","11.78","10.96","10.11","9.53","8.81","7.90","8.56","8.57","9.82","10.26","9.90","10.62","9.95","9.81","8.94","9.44","",""
"Albania","5.26","5.01","4.92","4.90","5.50","5.39","5.06","4.80","4.75","4.60","5.14","6.32","6.01","6.34","6.77","7.06","6.91","7.14","7.23"
"Algeria","6.22","6.38","6.61","6.98","6.55","6.04","6.00","5.27","5.12","5.36","4.20","3.82","3.36","3.24","3.54","3.60","3.73","3.84","3.49"
"Andorra","6.71","6.54","6.34","6.23","5.98","5.99","6.10","6.25","6.65","6.20","5.81","4.93","4.94","5.58","5.28","5.53","6.10","5.94","5.89"
"Angola","2.55","2.79","2.71","2.61","2.43","2.73","2.40","2.65","2.70","3.84","3.32","2.97","2.69","2.85","3.97","3.55","3.33","4.48","1.91"
"Antigua and Barbuda","5.23","5.17","5.12","5.28","5.87","5.51","5.48","5.44","5.38","4.19","4.20","4.45","4.63","4.99","5.12","5.59","5.29","5.44","4.69"
"Argentina","9.62","10.46","9.00","10.23","9.67","9.78","9.83","9.42","9.45","9.46","8.18","7.83","7.64","7.61","7.23","7.11","7.65","8.62","8.47"
"Armenia","10.03","10.36","9.95","10.12","10.18","10.32","9.13","9.38","9.24","8.44","6.64","5.50","5.85","5.86","6.06","7.18","7.61","4.65","4.20"
"Australia","9.28","9.21","9.20","9.32","9.04","8.76","8.68","8.54","8.43","8.56","8.26","8.07","7.99","7.99","8.11","7.90","7.89","7.70","7.61"
