bedrooms;bathrooms;sqft_living;sqft_lot;floors;condition;yr_built;price
3;1;1180;5650;1;3;1955;221900
3;2.25;2570;7242;2;3;1951;538000
2;1;770;10000;1;3;1933;180000
4;3;1960;5000;1;5;1965;604000
3;2;1680;8080;1;3;1987;510000
4;4.5;5420;101930;1;3;2001;1225000
3;2.25;1715;6819;2;3;1995;257500
3;1.5;1060;9711;1;3;1963;291850
3;1;1780;7470;1;3;1960;229500
3;2.5;1890;6560;2;3;2003;323000
3;2.5;3560;9796;1;3;1965;662500
2;1;1160;6000;1;4;1942;468000
3;1;1430;19901;1.5;4;1927;310000
3;1.75;1370;9680;1;4;1977;400000
5;2;1810;4850;1.5;3;1900;530000
4;3;2950;5000;2;3;1979;650000
3;2;1890;14040;2;3;1994;395000
4;1;1600;4300;1.5;4;1916;485000
2;1;1200;9850;1;4;1921;189000
3;1;1250;9774;1;4;1969;230000
4;1.75;1620;4980;1;4;1947;385000
3;2.75;3050;44867;1;3;1968;2000000
5;2.5;2270;6300;2;3;1995;285000
2;1.5;1070;9643;1;3;1985;252700
3;2.25;2450;6500;2;4;1985;329000
3;2;1710;4697;1.5;5;1941;233000
3;1.75;2450;2691;2;3;1915;937000
3;1;1400;1581;1.5;5;1909;667000
3;1.75;1520;6380;1;3;1948;438000
4;2.5;2570;7173;2;3;2005;719000
3;2.5;2320;3980;2;3;2003;580500
2;1.5;1190;1265;3;3;2005;280000
4;1.75;2330;5000;1.5;4;1929;687500
3;1;1090;3000;1.5;4;1929;535000
4;2.75;2060;6659;1;3;1981;322500
3;2.5;2300;3060;1.5;3;1930;696000
4;1;1660;34848;1;1;1933;550000
4;2;2360;6000;2;4;1904;640000
4;1;1220;8075;1;2;1969;240000
4;2.5;2620;7553;2;3;1996;605000
4;2.5;2570;5520;2;3;2000;625000
4;2.25;4220;24186;1;3;1984;775000
5;2.75;3595;5639;2;3;2014;861990
3;1;1570;2280;2;3;1922;685000
3;1;1280;9656;1;4;1959;309000
3;2.5;3160;13603;2;3;2003;488000
3;1;990;8528;1;3;1966;210490
4;2.5;2290;13416;2;4;1981;785000
3;1.75;1250;5963;1;4;1953;450000
3;2.5;2753;65005;1;5;1953;1350000
3;1;1190;9199;1;3;1955;228000
5;2.5;3150;9134;1;4;1966;345000
3;1.75;1410;4080;1;4;1950;600000
2;1.75;1980;8550;1;3;1981;585000
5;2.25;2730;6000;1.5;3;1927;920000
4;2.5;2830;5000;2;3;1995;885000
4;2.5;2250;4495;2;3;2008;292500
3;2.5;2420;4750;2;3;2003;301000
5;3.25;3250;14342;2;4;1968;951000
4;3;1850;9976;2;3;1991;430000
3;2.25;2150;21235;1;4;1959;650000
3;1.75;1260;8400;1;3;1954;289000
3;1.75;2519;8690;2;5;1973;505000
3;1.75;1540;1044;3;3;2014;549000
3;2.25;1660;6000;1;3;1979;425000
3;2.75;2770;3809;1.5;5;1925;317625
4;2.5;2720;11049;2;3;1989;975000
4;2.5;2240;4648;2;3;2005;287000
3;1;1000;12070;1;4;1968;204000
5;2.25;3200;20158;1;3;1965;1325000
5;3.25;4770;50094;1;4;1973;1040000
3;2;1260;5612;1;4;1972;325000
4;2;2750;7807;1.5;5;1916;571000
4;2.5;2380;5000;2;3;2005;360000
3;1.75;1790;50529;1;5;1965;349000
4;4;3430;35102;2;4;1986;832500
4;1.75;1760;7300;1;3;1956;380000
3;1;1040;5060;1;3;1941;480000
3;1;1410;5060;1;4;1956;410000
4;2.5;3450;39683;2;3;2002;720000
3;2.5;2350;5100;2;3;2003;390000
4;2.5;1900;5889;2;3;1992;360000
2;1;2020;6720;1;3;1948;355000
3;1.5;1680;8712;1;3;1964;356000
3;1;960;6634;1;3;1952;315000
3;1.5;2140;3600;2;3;1925;940000
5;2.25;2660;8400;1.5;5;1961;305000
3;3.25;2770;6278;2;3;2006;461000
2;2.25;1610;2040;2;4;1979;215000
2;1.75;1030;1066;2;3;2006;335000
4;2.5;1980;7403;2;3;1988;243500
5;2.75;3520;6353;2;4;2001;1099880
3;1;1200;10500;1;3;1962;153000
3;1.5;1580;5000;1;3;1939;430000
3;1.5;1580;5000;1;3;1939;700000
4;2.5;3300;10250;1;3;1946;905000
3;1.75;1960;15681;1;3;1967;247500
4;1.5;1160;6400;1;4;1975;199000
3;1.75;1810;41800;1;5;1980;314000
3;2.5;2320;36847;2;3;1992;437500
3;2.5;2070;13241;1.5;5;1910;850830
3;2;1980;3478;1.5;4;1929;555000
3;2.25;2190;107593;2;4;1983;699950
3;2.5;2920;8113;2;3;1950;1088000
3;1;1210;33919;1;3;1954;290000
3;2.5;2340;10005;1;4;1978;375000
3;1;1670;4005;1.5;4;1939;460000
2;1.75;1240;2493;1;4;1985;188500
4;2.5;3140;28037;2;4;1991;680000
5;1.75;2030;12342;2;4;1942;470000
4;2.5;2310;9624;2;3;1984;597750
3;1.75;1260;3328;1;5;1905;570000
3;1.75;1540;12600;1;4;1980;272500
3;1.75;2080;5969;1;3;1971;329950
4;2.5;3230;16171;2;3;2001;480000
3;3.5;4380;6350;2;3;1900;740500
3;3.5;1590;1102;3;3;2010;518500
2;1;880;6780;1;4;1945;205425
4;2;1570;9600;1;3;1950;171800
4;1;1610;2982;1.5;4;1925;535000
3;2.5;2400;6474;1;3;1964;660000
3;2;1450;9132;1;3;1987;391500
2;1;770;6000;1;3;1953;395000
4;1.75;2100;4400;1.5;5;1924;445000
3;2.25;2910;10204;2;3;1990;770000
